BILLING_PROVIDER_NPI_NUM,outlier_total_paid,outlier_total_claims,outlier_total_bene,outlier_avg_cost_per_claim,outlier_max_single_record,outlier_count,total_paid,total_claims,total_bene,num_codes,active_months,avg_cost_per_claim,max_single_record
1205823879,False,True,True,False,False,2,5433897.119999996,156045.0,126266.0,321,84,40.34890502682337,61675.0
1285671248,False,True,True,False,False,2,5887685.220000002,117380.0,96792.0,177,84,35.24914744610923,339848.88
1720166259,True,False,False,False,True,2,18583221.07,76875.0,3476.0,12,47,116.52883484413951,3269410.03
1528006103,False,True,True,False,False,2,5689713.520000002,156752.0,125152.0,316,84,46.77273572612237,216888.02
1508942681,False,True,True,False,False,2,2489807.000000002,134807.0,121667.0,160,84,24.371347443587208,45142.42
1770826679,True,False,False,False,True,2,7803165.719999999,55247.0,2678.0,2,8,292.44033068560105,2083272.02
1790221703,False,True,True,False,False,2,4057534.899999999,151007.0,113151.0,82,74,6.267073722878644,332131.73
1104991066,True,False,False,False,True,2,12914905.86,49035.0,1784.0,5,18,202.00220707119084,2330468.63
1164535274,True,False,False,False,True,2,69018344.49,67927.0,55216.0,1,21,916.8453137587909,7201568.45
1588689483,False,True,True,False,False,2,822048.4399999998,214144.0,158192.0,41,84,6.066956108981391,12900.2
1902324163,True,False,False,False,True,2,7204974.92,51390.0,2625.0,3,10,147.09383186214978,1185792.42
1124236724,True,False,False,False,True,2,13302054.110000001,41485.0,10988.0,1,10,806.8995843475241,1897551.95
1134245822,True,False,False,False,True,2,16962515.41,93166.0,3891.0,3,21,210.09299169273916,1406259.75
1922448984,True,False,False,False,True,2,7031157.58,35434.0,2792.0,4,23,531.6331444744362,1416164.76
1598122871,False,True,True,False,False,2,194586.49,187574.0,170074.0,159,82,1.2453503080950585,9960.75
1255313664,False,True,True,False,False,2,1116806.3399999994,451658.0,294987.0,236,84,4.349142583419589,28352.17
1043361744,True,False,False,False,True,2,7417214.8100000005,31248.0,1976.0,9,37,201.37010551924956,903572.03
1295071231,False,True,True,False,False,2,3385632.439999999,107894.0,69653.0,36,83,41.506780355070106,97344.36
1982091617,False,True,True,False,False,2,2038989.2299999995,119954.0,69896.0,69,69,12.660466447345001,537713.02
1447296272,False,True,True,False,False,2,4415627.7799999975,225599.0,198440.0,348,84,16.507346645693424,132516.7
1548287907,False,True,True,False,False,2,4418449.989999997,103382.0,90284.0,150,84,42.01508938045347,13851.78
1346731171,True,False,True,False,False,2,7138229.210000004,77632.0,67930.0,16,58,98.34427887790012,132536.16
1104920487,True,False,False,False,True,2,13080775.020000001,30330.0,1724.0,5,28,444.57170321355926,1073167.72
1730350430,False,False,False,True,True,2,4306330.089999999,3006.0,448.0,6,14,1790.6385558025513,795211.47
1205800638,False,True,True,False,False,2,1103810.4900000007,183965.0,111224.0,154,83,10.600689453819353,40438.74
1043703572,True,False,False,False,True,2,10715434.02,55604.0,3338.0,5,24,127.60444345637397,1677861.0
1801922620,True,False,False,False,True,2,13359601.630000003,86855.0,9921.0,7,39,142.11931452778848,1655806.0
1295727147,False,True,True,False,False,2,233326.0799999999,133487.0,121300.0,142,83,2.2143381262079704,7409.18
1649389560,False,True,True,False,False,2,3705770.12,102015.0,94826.0,37,83,42.30460846772749,39519.65
1881789014,False,True,True,False,False,2,3396804.699999998,170920.0,82539.0,153,84,17.354672737360552,15981.96
1093749087,False,True,True,False,False,2,754437.1499999991,208550.0,136067.0,100,83,4.2730063491535235,60043.0
1316162738,False,True,True,False,False,2,1526889.9099999995,110458.0,99465.0,32,83,16.265533403821838,9883.76
1386773273,True,False,False,False,True,2,44165058.97999999,23188.0,7679.0,8,38,1706.6713501912288,4589736.15
1588085633,True,False,False,False,True,2,7941420.920000002,26215.0,11133.0,3,12,234.4031152389168,1877545.55
1043622780,True,False,False,False,True,2,12070585.629999999,68101.0,9771.0,10,35,207.8283870318132,1293613.55
1114239068,False,True,True,False,False,2,2549471.569999999,112612.0,96203.0,186,84,28.48973903026811,98235.74
1962463786,False,True,True,False,False,2,891989.94,121278.0,84553.0,130,82,10.010667431031424,20828.48
