CLAIM_FROM_MONTH,1184703415,1376609297,1417262056,1538649983,1629436241,1699703827,1699725143,1710176151,1922467554,1982757688,market_total,share_1376609297,share_1417262056,share_1699703827,share_1699725143,share_1710176151,share_1629436241,share_1982757688,share_1922467554,share_1184703415,share_1538649983,top10_combined
2021-06-01,0.0,0.0,3205203.11,0.0,2808085.8000000007,7201505.24,3824532.4799999995,1718329.6500000001,92302.46,3374887.9500000007,1320430373.5699975,0.0,0.2427392745695643,0.5453907592665839,0.28964287375939074,0.1301340596516435,0.21266443549067154,0.25558999683379324,0.006990331474309042,0.0,0.0,1.683151731045956
2021-07-01,0.0,0.0,6360198.720000001,18118241.799999997,1637305.6500000004,7705281.4,5157878.199999999,15931537.629999999,0.0,4309145.33,1349546817.2199984,0.0,0.47128403689630455,0.5709532490226986,0.3821933507001247,1.1805101851018553,0.12132262690765863,0.31930313754335937,0.0,0.0,1.3425426646051972,4.388109250777198
2021-08-01,0.0,49237837.4,1907465.7,1357785.78,737670.4400000001,6910123.2,14840617.39,4776646.57,0.0,978932.84,1504638677.1399956,3.272402746790403,0.126772342687993,0.45925465727989284,0.9863243325772351,0.3174613707976329,0.049026417518533934,0.06506099137772713,0.0,0.0,0.09023998921660499,5.366542848246023
2021-09-01,0.0,0.0,1001374.0900000001,295.0,1385179.8700000003,6247055.459999999,1171800.9800000002,5829487.470000001,0.0,2302256.98,1360374604.630005,0.0,0.0736101722710675,0.45921582472491657,0.08613811048896396,0.42852075084020746,0.10182341432172957,0.16923698605989257,0.0,0.0,2.168520339882662e-05,1.3185669439101764
2021-10-01,0.0,0.0,1394923.5099999998,27777661.53,4080865.4000000004,6148188.56,2204134.2399999998,2691237.5,0.0,1475010.17,1349883723.9599981,0.0,0.10333656782732914,0.45546060381880654,0.16328326661603013,0.199368097579918,0.3023123642107808,0.10926942401179064,0.0,0.0,2.057781795346927,3.3908121194115814
2021-11-01,12095294.62,0.0,128928.23,0.0,2523013.39,6603994.669999999,1188682.89,2464853.08,0.0,4339995.03,1325082677.2399993,0.0,0.009729825331996888,0.4983835939773501,0.08970631873898578,0.18601504059610954,0.19040422407869356,0.327526357754501,0.0,0.9127954676151347,0.0,2.2145608280927718
2021-12-01,0.0,749540.7,1171778.04,2894659.94,16360994.379999999,4340882.51,4938500.84,2934552.9700000007,0.0,1854089.57,1392958757.0700016,0.05380925287239732,0.08412151717002442,0.31163036866437915,0.3545331701268612,0.2106704850452746,1.1745498060843014,0.1331044125024891,0.0,0.0,0.2078065790037265,2.530225591469454
2022-01-01,0.0,101865403.32,41646705.46000001,150.0,16034346.430000002,8349849.420000001,1022024.7400000001,40182.77,0.0,1138480.5000000002,1528539463.2000048,6.66423116788521,2.7246078012806048,0.5462632546312903,0.06686282981928293,0.002628834319781131,1.0489978712379475,0.07448159026372703,0.0,0.0,9.813289326922203e-06,11.128083162727169
2022-02-01,0.0,0.0,8129003.220000001,0.0,15954923.560000002,6817036.199999999,1099716.4299999997,426114.45999999996,0.0,1874235.6099999999,1269644085.0899985,0.0,0.6402584248186197,0.5369249760665624,0.08661611887256156,0.03356172529010718,1.2566453660018462,0.14761897700386994,0.0,0.0,0.0,2.701625588053567
2022-03-01,0.0,98713611.08,283635.84,1615591.47,1892294.3699999999,9602088.04,1111263.3699999999,3767704.81,0.0,1349452.8000000003,1588421977.6700048,6.214570968402187,0.017856454014572032,0.6045048592241801,0.06996021117952986,0.2371979778022652,0.11913045756114088,0.08495556086295536,0.0,0.0,0.10171047068801259,7.449886959734843
