HCPCS_CODE,first_seen,last_seen,months_active,total_paid,provider_count,first_dt,last_dt,first_quarter,last_quarter
0599T,2020-12,2024-11,35,3488.15,5,2020-12-01,2024-11-01,2020Q4,2024Q4
S9454,2018-10,2024-12,19,5494.65,4,2018-10-01,2024-12-01,2018Q4,2024Q4
70160,2018-02,2024-11,68,17127.7,19,2018-02-01,2024-11-01,2018Q1,2024Q4
85335,2018-01,2024-10,15,2854.0900000000006,7,2018-01-01,2024-10-01,2018Q1,2024Q4
87278,2020-02,2024-12,34,6340.929999999999,6,2020-02-01,2024-12-01,2020Q1,2024Q4
87253,2018-01,2024-11,44,17037.25,11,2018-01-01,2024-11-01,2018Q1,2024Q4
3341F,2018-01,2024-12,83,10988.32,190,2018-01-01,2024-12-01,2018Q1,2024Q4
A6442,2018-01,2024-11,67,12964.29,11,2018-01-01,2024-11-01,2018Q1,2024Q4
81322,2018-02,2019-04,8,2283.9500000000003,2,2018-02-01,2019-04-01,2018Q1,2019Q2
J1805,2023-07,2024-12,18,23126.670000000002,54,2023-07-01,2024-12-01,2023Q3,2024Q4
82360,2018-01,2024-07,58,26232.59,19,2018-01-01,2024-07-01,2018Q1,2024Q3
C1768,2018-02,2024-07,24,24279.76,10,2018-02-01,2024-07-01,2018Q1,2024Q3
80186,2018-03,2024-11,56,20649.959999999995,20,2018-03-01,2024-11-01,2018Q1,2024Q4
Q4022,2018-01,2024-09,56,11884.76,20,2018-01-01,2024-09-01,2018Q1,2024Q3
86294,2018-02,2024-11,49,5376.119999999999,2,2018-02-01,2024-11-01,2018Q1,2024Q4
A6256,2020-12,2024-09,6,4634.97,2,2020-12-01,2024-09-01,2020Q4,2024Q3
84110,2018-08,2024-10,32,4705.589999999999,3,2018-08-01,2024-10-01,2018Q3,2024Q4
87335,2018-03,2024-11,38,17301.74,7,2018-03-01,2024-11-01,2018Q1,2024Q4
77333,2018-01,2024-08,17,10487.600000000002,6,2018-01-01,2024-08-01,2018Q1,2024Q3
C1892,2018-01,2024-11,55,26021.33,23,2018-01-01,2024-11-01,2018Q1,2024Q4
L1260,2018-10,2023-11,13,4412.49,5,2018-10-01,2023-11-01,2018Q4,2023Q4
82143,2019-01,2019-12,3,97.41,2,2019-01-01,2019-12-01,2019Q1,2019Q4
91315,2022-10,2023-08,11,3411.1700000000005,164,2022-10-01,2023-08-01,2022Q4,2023Q3
4177F,2018-01,2024-11,83,23547.309999999998,103,2018-01-01,2024-11-01,2018Q1,2024Q4
L1020,2018-08,2020-03,7,547.75,1,2018-08-01,2020-03-01,2018Q3,2020Q1
G9275,2018-01,2024-12,84,10646.689999999999,592,2018-01-01,2024-12-01,2018Q1,2024Q4
G9508,2018-01,2024-11,76,157.83,9,2018-01-01,2024-11-01,2018Q1,2024Q4
A4300,2018-01,2024-02,74,6890.66,14,2018-01-01,2024-02-01,2018Q1,2024Q1
A6221,2018-02,2021-12,28,32835.81,3,2018-02-01,2021-12-01,2018Q1,2021Q4
G8710,2018-05,2024-10,65,639.85,16,2018-05-01,2024-10-01,2018Q2,2024Q4
G0513,2018-02,2024-08,34,20532.739999999998,16,2018-02-01,2024-08-01,2018Q1,2024Q3
3353F,2018-01,2024-12,84,17400.68,236,2018-01-01,2024-12-01,2018Q1,2024Q4
3500F,2019-01,2024-12,37,891.01,7,2019-01-01,2024-12-01,2019Q1,2024Q4
G8542,2018-01,2024-12,81,30.09,70,2018-01-01,2024-12-01,2018Q1,2024Q4
75630,2018-01,2024-10,28,27353.979999999996,15,2018-01-01,2024-10-01,2018Q1,2024Q4
E0251,2018-02,2023-08,41,15017.91,4,2018-02-01,2023-08-01,2018Q1,2023Q3
3066F,2018-01,2024-12,84,1013.67,152,2018-01-01,2024-12-01,2018Q1,2024Q4
Q0240,2021-09,2021-12,4,3171.1800000000003,14,2021-09-01,2021-12-01,2021Q3,2021Q4
4070F,2018-01,2023-05,3,0.2,2,2018-01-01,2023-05-01,2018Q1,2023Q2
J7627,2018-12,2020-03,10,0.16,2,2018-12-01,2020-03-01,2018Q4,2020Q1
