BILLING_PROVIDER_NPI_NUM,flagged_codes,max_excess_ratio,total_excess_paid
1609129402,746,28621.641791044778,20537578.5
1942284765,1287,423.39291046367794,20526082.58
1265595664,106,32.488616027649556,20512065.26
1356331425,352,32.414996606668375,20413322.95
1659602076,57,45.984994775919965,20329260.95
1881692390,251,70.71106326515284,20326662.5
1548367873,647,27685.23076923077,20284366.96
1245370717,1215,23915.46153846154,20244366.39
1073090098,24,32.55182744810301,20238366.33
1821143777,744,4779.444444444444,20237507.12
1710945969,4123,58401.882352941175,20217732.03
1497372908,30,52.470701332019615,20178148.81
1477955235,46,61.22064495007367,20161288.57
1750510277,748,49776.92307692308,20153999.53
1437150984,1585,248233.05555555553,20030103.02
1477584993,641,50499.166666666664,20023977.63
1689282147,1098,375904.375,19984689.73
1730218868,23,1308.467279537738,19982256.0
1275651267,26,2560.385856165839,19981537.0
1114133246,54,18.437472893964777,19967303.32
1447359997,3537,50784.46666666667,19925357.08
1225133473,1242,8123.368421052632,19890021.49
1104348556,56,22.76466638817439,19838991.27
1952377939,747,30.673358549644327,19793658.08
1790778660,129,148.95348837209303,19783334.89
1376263657,19,51.72772002378163,19564959.74
1134206386,680,72610.0,19554236.97
1659389849,91,81.19819118234022,19547552.71
1568682797,37,199.91949629609843,19489732.62
1992012306,318,33674.0,19461405.21
1962609701,195,44.72056348202999,19403522.8
1942264940,42,6911.0,19385663.43
1700886322,839,33296.86956521739,19341807.11
1598000549,39,40.85649670076557,19185131.42
1346613163,98,12.046395314946325,19156840.78
1336338763,81,75.5980309109342,19142102.95
1700231305,38,15.7271529359584,19096821.29
1972597425,1836,12570.70588235294,19064641.25
1467492421,939,533381.8571428572,19060845.69
1417671967,13,58.064114534702775,18980014.0
1275566200,342,309962.4285714286,18943460.1
1194803403,66,19.56521337933206,18910370.29
1326607011,187,103.64733927683923,18857921.37
1740221621,49,6000.0,18827517.88
1346974763,16,21.025222170504623,18804366.34
1205883717,89,12.948662957087976,18739366.61
1538157508,284,754815.5833333333,18676331.97
1194144873,48,12.310116447851486,18669871.55
1336245828,3491,10188.583333333334,18627740.23
1477902641,259,14713.809523809525,18624769.75
1497885107,103,63.78777784271327,18611431.8
1730251430,48,31.461899473090856,18600511.62
1851441075,214,21.56651562836572,18571522.72
1821004151,1624,9053.947368421052,18523069.25
1649845322,15,7.872078754930893,18508742.64
1346464781,69,31.13330028378512,18493002.3
1427007848,282,13.548344017094017,18390035.52
1477637874,86,94.30745261750344,18377266.62
1699908269,43,39.23660546794684,18365473.21
1154373843,1507,17843.857142857145,18311697.07
1518953652,111,98.86061788656932,18216137.91
1366097032,272,485505.21428571426,18110116.86
1639186539,204,13.797534225090185,18108141.98
1770624348,47,9.712065507792053,18053848.24
1376513754,1273,72897.57142857142,17930716.9
1952333205,657,40799.782608695656,17881828.11
1881320711,56,77.8540498326852,17871017.9
1295859668,40,10.087086652067558,17869325.8
1992708176,283,35.62383262885059,17860156.33
1417975061,1503,552759.923076923,17849498.49
1750358297,1580,146301.0,17845968.16
1003929829,302,7.152614774484103,17812551.99
1235569112,59,30.55848518495217,17741793.43
1942825286,67,75.05248295454545,17736663.89
1649605403,843,1020.3157894736842,17719627.07
1568455053,168,17896.29411764706,17711481.0
1700239779,31,19.067525930725022,17693995.69
1033154026,3156,35269.75,17674404.15
1144347824,24,1930.900925679606,17617826.0
1003038365,35,7.572419734102554,17616912.91
1780635078,408,409119.25,17553475.98
1013092857,40,9.384472278933538,17543906.15
1134125016,498,9948.351351351352,17539581.9
1730112871,56,87.89249833152634,17535260.68
1790443216,30,111.46052844678721,17524127.05
1053597096,33,4.9150425234671475,17485627.0
1023116548,41,8.218305324613674,17476789.5
1114019858,1350,40104.705882352944,17462976.19
1619011889,56,13.956948436765266,17415937.52
1124092036,1343,16559.05,17414854.04
1477645414,17,212.43168596292801,17389408.74
1346297843,1867,13359.92857142857,17367796.14
1720031701,321,12610.550000000001,17366459.66
1801992631,1047,391246.2,17359798.86
1144664954,1496,7721.549999999999,17357124.19
1750969168,97,541.5489527520701,17355864.14
1871729616,46,51.29146153846154,17281097.77
1104986017,119,166.8874825471386,17216836.1
1194116632,98,36.25294024151499,17212673.81
1407887003,1321,20973.13375405083,17161971.09
1770588444,40,9.550582564140054,17159021.28
1134710379,44,96.58619149667494,17145017.94
1518143205,127,18.875529428514863,17123124.7
1073518007,1356,568836.0,17110309.95
1093898660,505,27.848479482979947,17079290.59
1700434701,44,31.340641975308642,17071635.29
1154302586,78,20.437067591950996,16920782.81
1528387859,55,32.39617071468749,16901791.1
1821206210,60,14.161232484156246,16896451.84
1780737007,82,58.06217443754322,16876984.38
1184722779,829,182641.23076923075,16862358.23
1427058510,1592,21345.563218390806,16862141.6
1831227974,314,45.7815162415817,16855144.47
1588054068,37,25.39018793933101,16854900.39
1063545465,35,46.620506984632144,16788557.69
1790297455,305,4287.573529411765,16749064.65
1366594699,1330,9830.5,16714960.29
1689783672,303,50.48053625617102,16690501.83
1174512792,597,864457.5333333334,16687866.47
1265470686,35,191.79243059725604,16660248.68
1962564328,20,15.671737228257198,16610982.44
1003914466,44,9.56541969004527,16596707.83
1003969114,64,18.429407918856164,16588557.28
1467536276,735,4606.538461538462,16566903.23
1245378561,31,28.137985580508772,16511519.76
1770529950,1707,5373.0,16487581.68
1114960093,151,86.81133482475764,16478227.07
1568583235,137,63.54570538162909,16473121.4
1992702955,24,31.765919693463744,16456509.7
1225033814,3333,419722.16666666674,16423051.54
1437197985,492,6479.25,16405554.8
1497786412,417,64000.0,16365906.51
1346313731,442,107.89791391146683,16352195.07
1073602835,74,89.40339014338703,16308900.73
1831833169,8,11.262462862280298,16307339.92
1598144362,592,10978.533333333333,16296956.73
1548293343,321,25.85180581317433,16218158.530000001
1609947845,17,9.247136382933842,16193387.129999999
1528062429,1262,266109.9375,16153217.27
1003232976,339,30969.611111111113,16152378.31
1194802710,46,13.494352363293105,16144136.88
1013248038,75,18.378823858662972,16076754.86
1255406658,158,39.04493961158675,16069465.32
1811213994,1468,224318.40000000002,16048919.83
1689708505,101,41.97039472925636,16041335.49
1831270842,949,60600.0,15995158.39
1740670942,63,7.649085250697508,15960815.94
1003878539,404,25933.147826086955,15891317.11
1932123247,3559,70888.74468085106,15872274.69
1134346687,167,41.20533080488833,15862698.22
1700087590,1781,29970.91666666667,15846021.81
1871538108,40,43.95614594413869,15842314.790000001
1952320087,65,32.48141324558776,15833640.02
1861568107,21,159.07925557036612,15815993.83
1023191467,362,16.423259891536297,15781934.47
1770690695,315,378530.38461538457,15779348.03
1265457980,99,43.14378982977933,15766783.66
1710953799,646,30.673358549644327,15764386.02
1134317498,23,8.479050579096395,15693810.959999999
1659039386,14,29.320415455967378,15683443.93
1306938071,966,77076.64516129032,15671743.62
1245384346,26,9.41191815665543,15645451.39
1043421902,90,31.929186579829643,15642307.02
1700277670,39,12.271890973452733,15628774.67
1093873382,158,18.482743636873977,15619305.16
1780728261,49,7.887076369944428,15598861.4
1770604035,36,26.595668159371108,15596779.58
1487868097,1273,14567.063829787236,15596777.84
1629137575,198,11.61226177970734,15556122.01
1770513145,37,71.46428571428572,15543311.34
1568100865,22,22.264140660661187,15539616.32
1356628028,67,82.39640408149873,15516367.76
1568415032,40,618596.0535714285,15510968.58
1134212442,216,26.139165449514106,15500564.96
1184865776,53,12.077914720159017,15483557.32
1114246816,33,59.02513228431812,15475956.23
1730249186,655,30.673358549644327,15475392.91
1124355227,42,26.074825497557818,15460448.68
1053920454,38,68.20464136877406,15459645.96
1275911398,16,23.750487767876752,15448634.09
